frame_id,arm,seed,raw_diagonal_px,base_frame_mean_px,method_frame_mean_px,method_frame_normalized,gain_frame_px,correction_mean_px,correction_max_px,utility_mean,actual_candidate_gain_mean_px,mode_ambiguity_mean
P0__shard_05_f0013,direct,3,800.0,1.740708108250306,2.7060644999001235,0.0033825806248751543,-0.9653563916498176,1.8893563359267471,3.6141922744750143,0.0872003457819422,-3.2758748531341553,0.5844271406531334
P0__shard_06_f0868,direct,3,1101.45361328125,1.9188723318869534,2.9986258285006633,0.002722425885523861,-1.07975349661371,1.742498324853826,3.251747323585083,0.07331848113487165,-4.078038692474365,0.5149490038553873
G38__G__f19114,direct,3,1101.45361328125,0.9578911976469856,1.7116491215109204,0.0015539911085423626,-0.7537579238639348,1.1308802765844843,1.631622592388305,0.0929164607077837,-3.0242717266082764,0.5760824133952459
TEX__shard_06_f0195,direct,3,800.0,14.001481696522562,18.058614666083415,0.022573268332604268,-4.057132969560852,5.839419853330276,8.00000059102079,0.09756392768273751,-1.9289175271987915,0.5800012101729711
P0__shard_04_f0669,direct,3,800.0,1.17946330015931,2.0302733260398553,0.002537841657549819,-0.8508100258805453,3.070844376810318,7.999999927983431,0.07394351841260989,-4.211553573608398,0.5059330215056738
G38__G__f24949,direct,3,800.0,1.9395634517762896,3.2082313458435823,0.004010289182304478,-1.2686678940672926,1.727200892471918,3.447762733158669,0.06603386936088403,-3.2827069759368896,0.6005575656890869
G38__G__f7371,direct,3,800.0,1.1638606086026144,1.653294464310188,0.0020666180803877348,-0.4894338557075735,1.7136031003126255,3.3616086850176705,0.07656496080259483,-2.1619021892547607,0.6545379608869553
G38__G__f28917,direct,3,1101.45361328125,1.827723952838106,1.9664073679546121,0.0017852838687383752,-0.13868341511650617,0.4573942427032849,0.8653695819917723,0.10094033492108186,-0.5075675845146179,0.5711588114500046
G38__G__f22935,direct,3,1101.45361328125,2.234347329181083,1.6405457330059672,0.0014894369705853996,0.5938015961751157,0.6369245218533389,0.8575406556078925,0.09706269142528375,-0.406445175409317,0.6669864704211553
TEX__shard_04_f0182,direct,3,800.0,2.369515174985896,4.998197291911874,0.006247746614889842,-2.6286821169259778,3.87665887220344,8.000000243554151,0.08542038748661678,-3.2289345264434814,0.6133552466829618
