arm,seed,eta,frame_id,evaluable,E_sym,E_fixed,frame_mean_px,fixed_frame_mean_px,branch,n_corners,center_error_px,rescue,true_collapse
B2_THREE_EQUAL,3,1.0,TEX__shard_05_f0955,True,0.0013778369010284555,0.0013778369010284555,1.0911911540166324,1.0911911540166324,0,8,0.924800978448778,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_05_f0705,True,0.0023473906889803966,0.0023473906889803966,2.585541889869671,2.585541889869671,0,8,1.3844616518542054,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_03_f1099,True,0.006169483168954828,0.006169483168954828,4.935586535163862,4.935586535163862,0,8,3.3377469700222253,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f19458,True,0.0032997607976599846,0.0032997607976599846,2.6398086381279877,2.6398086381279877,0,8,1.3372074171906723,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f17353,True,0.0011603510473030235,0.0011603510473030235,1.2780728209581673,1.2780728209581673,0,8,1.2608932611905328,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f20521,True,0.002628539497624423,0.002628539497624423,2.895214253080682,2.895214253080682,0,8,3.1364431075097428,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f15694,True,0.0027083705094341406,0.0027083705094341406,2.9831444072359576,2.9831444072359576,0,8,0.8979691396784241,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_03_f0532,True,0.0009761340284327915,0.0009761340284327915,0.7809072227462333,0.7809072227462333,0,8,0.43169235646028165,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_00_f0416,True,0.004264560593633542,0.004264560593633542,4.697215554482876,4.697215554482876,0,8,5.442578469945615,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_03_f0082,True,0.005795329699026852,0.005795329699026852,4.636263759221482,4.636263759221482,0,8,2.4294628983171345,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f38156,True,0.0022106560476437614,0.0022106560476437614,1.7685248381150092,1.7685248381150092,0,8,1.5179627743198596,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f37848,True,0.0029046794637528294,0.0029046794637528294,2.3237435710022636,2.3237435710022636,0,8,0.34267486231211997,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_00_f0721,True,0.0011186514953537832,0.0011186514953537832,0.8949211962830266,0.8949211962830266,0,8,1.1219779599979496,False,False
