model,frame_id,domain,session,n_cand,top1_conf,top1_iou,top1_is_correct,any_correct,correct_rank,best_correct_conf,best_wrong_conf,margin
FT,1779449596017728000,NIGHT,eval_night09,1,0.9820772409439087,0.8971437389341502,True,True,1,0.9820772409439087,,0.9820772409439087
FT,1779449602689248000,NIGHT,eval_night09,1,0.9794332981109619,0.8806480923551311,True,True,1,0.9794332981109619,,0.9794332981109619
FT,1779449604823769344,NIGHT,eval_night09,3,0.9373531937599182,0.8806809459674295,True,True,1,0.9373531937599182,0.006970515474677086,0.9303826782852411
FT,1779449631842893312,NIGHT,eval_night09,1,0.9565435647964478,0.8437788316699139,True,True,1,0.9565435647964478,,0.9565435647964478
FT,1779449634044385536,NIGHT,eval_night09,1,0.9576238989830017,0.9085320108502148,True,True,1,0.9576238989830017,,0.9576238989830017
FT,1779449638581035008,NIGHT,eval_night09,1,0.9590890407562256,0.8404358634266179,True,True,1,0.9590890407562256,,0.9590890407562256
FT,1779449643284402176,NIGHT,eval_night09,1,0.8667681217193604,0.8649879689302756,True,True,1,0.8667681217193604,,0.8667681217193604
FT,1779449645419136000,NIGHT,eval_night09,1,0.9503990411758423,0.9251844720571838,True,True,1,0.9503990411758423,,0.9503990411758423
FT,1779449647620845824,NIGHT,eval_night09,1,0.9261719584465027,0.8141643862493755,True,True,1,0.9261719584465027,,0.9261719584465027
FT,1779449649655479552,NIGHT,eval_night09,1,0.9591538310050964,0.7841166208512095,True,True,1,0.9591538310050964,,0.9591538310050964
FT,1779449656527024896,NIGHT,eval_night09,1,0.9814918637275696,0.8158109900576553,True,True,1,0.9814918637275696,,0.9814918637275696
FT,1779449661263803392,NIGHT,eval_night09,2,0.007167109753936529,0.2417802967392564,False,False,,,0.007167109753936529,
