arm,id,detected,legacy_population,E_fixed,E_sym,fixed_mean_px,sym_mean_px,branch,annotated_corners,legacy_fixed9_px,legacy_buggy9_px,corrected9_px,mask_bug_changed_metric,mask_noninvariant,mask_changed_slots,rescue,true_collapse
F0,forklift_v4_174925_manual_gt__000270,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.004233299388560658,0.004233299388560658,3.3866395108485263,3.3866395108485263,0,8,3.2864039313292714,3.2864039313292714,3.2864039313292714,False,False,0,False,False
F0,forklift_v4_174925_manual_gt__000690,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0011645700062641602,0.0011645700062641602,0.9316560050113281,0.9316560050113281,0,8,0.9111601308608444,0.9111601308608444,0.9111601308608444,False,False,0,False,False
F0,forklift_v4_174925_manual_gt__000930,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0014500463761775084,0.0014500463761775084,1.1600371009420067,1.1600371009420067,0,8,1.1568136227167212,1.1568136227167212,1.1568136227167212,False,False,0,False,False
F0,forklift_v4_174925_manual_gt__001320,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.005053764739210312,0.005053764739210312,4.04301179136825,4.04301179136825,0,8,3.848148304362107,3.848148304362107,3.848148304362107,False,False,0,False,False
F0,forklift_v4_174925_manual_gt__001770,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.274884276148055,0.006437844701981117,219.90742091844402,5.1502757615848935,1,8,195.90975633182163,5.014516192391299,5.014516192391299,False,False,0,False,False
F0,forklift_v4_20260903_190408_manual_gt__000000,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0029235685076027893,0.0029235685076027893,2.3388548060822316,2.3388548060822316,0,8,2.301157797948054,2.301157797948054,2.301157797948054,False,False,0,False,False
F0,forklift_v4_20260903_190408_manual_gt__000360,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0022918914588074095,0.0022918914588074095,1.8335131670459277,1.8335131670459277,0,8,1.734339452533746,1.734339452533746,1.734339452533746,False,False,0,False,False
F0,forklift_v4_20260903_190408_manual_gt__000420,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0019222913216673642,0.0019222913216673642,1.5378330573338914,1.5378330573338914,0,8,1.4593686623986295,1.4593686623986295,1.4593686623986295,False,False,0,False,False
F0,forklift_v4_20260903_190408_manual_gt__000660,False,challenge/yolo_pose_one_model/datasets/live_gt_v4,1.0,1.0,800.0,800.0,0,8,,,,False,False,0,False,True
F0,forklift_v4_20260903_190408_manual_gt__000720,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.003191659692648208,0.003191659692648208,2.553327754118566,2.553327754118566,0,8,2.5260668995574282,2.5260668995574282,2.5260668995574282,False,False,0,False,False
F0,forklift_v4_20260903_190743_manual_gt__000000,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.002763363238405179,0.002763363238405179,2.210690590724143,2.210690590724143,0,8,2.113321976578595,2.113321976578595,2.113321976578595,False,False,0,False,False
